Real tax payments,fecha,Sarima forecast,ARDL forecast
1258.24804,2001-03-31,,
8866.522461,2001-06-30,,
1634.200301,2001-09-30,,
13756.897012,2001-12-31,,
772.311221,2002-03-31,,
2361.619069,2002-06-30,,
5566.399475,2002-09-30,,
14534.447651,2002-12-31,,
4273.169326,2003-03-31,,
4297.435056,2003-06-30,,
2951.537718,2003-09-30,,
17468.544185,2003-12-31,,
1787.958797,2004-03-31,,
2775.610443,2004-06-30,,
2501.2106394499997,2004-09-30,,
18988.10147,2004-12-31,,
1629.583866,2005-03-31,,
3316.993423,2005-06-30,,
3872.764566,2005-09-30,,
27117.640606,2005-12-31,,
2567.361714,2006-03-31,,
6826.044254,2006-06-30,,
4545.85827,2006-09-30,,
38044.724844,2006-12-31,,
4170.043504,2007-03-31,,
6693.383769,2007-06-30,,
10459.534745,2007-09-30,,
32121.747445,2007-12-31,,
3983.58254,2008-03-31,,
5217.999981,2008-06-30,,
6361.614441,2008-09-30,,
33536.144445,2008-12-31,,
3637.679368,2009-03-31,,
8071.84355,2009-06-30,,
6760.814931,2009-09-30,,
41612.620559,2009-12-31,,
4549.906959,2010-03-31,,
11508.664362,2010-06-30,,
7879.294379,2010-09-30,,
47912.044166,2010-12-31,,
24222.696853,2011-03-31,,
16082.076643,2011-06-30,,
12517.352928,2011-09-30,,
57142.568463,2011-12-31,,
7623.553801,2012-03-31,,
10952.883228,2012-06-30,,
14999.513015,2012-09-30,,
97315.692461,2012-12-31,,
19211.818283,2013-03-31,,
27538.522012,2013-06-30,,
36041.49842,2013-09-30,,
96168.067207,2013-12-31,,
24205.481693,2014-03-31,,
23523.346028,2014-06-30,,
23433.717032,2014-09-30,,
146219.150278,2014-12-31,,
23239.439029,2015-03-31,,
33974.15266,2015-06-30,,
32914.185716,2015-09-30,,
174650.714698,2015-12-31,,
66051.097921,2016-03-31,27256.2900583586,66051.097921
44557.947963,2016-06-30,27224.9112070151,44557.947963
44334.492476,2016-09-30,41306.937723604206,44334.492476
242504.578974,2016-12-31,206697.67737949398,242504.578974
18627.026953,2017-03-31,27075.0741194317,18627.026953
56407.88127,2017-06-30,35590.2413024695,56407.88127
61125.366693,2017-09-30,40939.301342190694,61125.366693
219717.249074,2017-12-31,243985.77239488,219717.249074
35147.624472,2018-03-31,24206.3624861715,35147.624472
36893.793,2018-06-30,37600.5941845213,36893.793
41935.303495,2018-09-30,47874.568948883694,41935.303495
294476.66566,2018-12-31,273626.71700587,294476.66566
12083.033419,2019-03-31,29196.5531915059,12083.033419
40028.284922,2019-06-30,37502.6475695644,40028.284922
56702.954418,2019-09-30,53784.0929155969,56702.954418
276002.281687,2019-12-31,307072.481925213,276002.281687
38836.828795,2020-03-31,27341.1598745104,38836.828795
16586.791289,2020-06-30,42869.422012681505,16586.791289
1955.804003,2020-09-30,55857.658603817,1955.8040029999897
414663.912484,2020-12-31,341999.99511768797,414663.912484
